bgg_id,title,year_published,game_weight,avg_rating,min_players,max_players,num_owned,num_want,num_wish,mfg_playtime,com_min_playtime,com_max_playtime,mfg_age_rec,num_user_ratings
182796,Bardagi: The Claim for Gold,2016,3,6,2,5,194,4,40,120,90,120,10,53
182799,Take a Train,2015,2,6,2,6,142,1,10,60,30,60,8,89
182801,Stinky Business,2015,2,6.3,2,5,209,4,35,90,60,90,10,133
182865,Engineering Ants,2015,1,4.9,2,4,138,1,11,0,15,0,5,41
182869,Hong,2016,3,6.1,2,2,163,1,25,30,30,30,8,76
182874,Grand Austria Hotel,2015,3,7.9,2,4,17569,1150,4865,120,60,120,12,14539
182875,Hengist,2015,2,4.8,2,2,1424,11,108,20,20,20,7,682
182880,Catan: Big Box,2015,3,7.3,3,6,270,7,26,90,75,90,10,85
182915,ILIOS,2015,2,7,2,4,122,1,20,50,15,50,8,53
182952,Rory's Story Cubes: Animalia,2015,1,6.6,1,12,497,14,69,20,20,20,6,118
182953,Rory's Story Cubes: Fright,2015,1,6.8,1,12,502,13,73,20,20,20,6,122
182954,Rory's Story Cubes: Mythic,2015,1,6.9,1,12,456,8,65,20,20,20,6,109
182955,Rory's Story Cubes: Moomin,2015,1,6.8,1,12,287,7,50,20,20,20,6,54
182960,Termity,2015,3,6,2,4,140,5,38,45,30,45,10,80
182978,Landed,2017,2,6.9,2,4,132,2,20,60,30,60,12,49
182982,Horse & Musket: Dawn of an Era,2017,3,8.2,1,2,264,44,150,90,60,90,10,99
183006,Qwinto,2015,1,7,2,6,4936,79,465,15,15,15,8,2790
183049,City Council: Deluxe Edition,2015,3,5.9,1,5,161,7,25,90,60,90,12,46
183150,Morocco,2016,2,6.7,2,5,486,13,109,45,45,45,13,221
183197,Serengeti: A Race For Life,2017,2,6,2,2,122,3,30,45,30,45,10,52
183212,18Dixie with 18MS and 18GA,2015,3,7.6,2,6,80,45,71,150,120,150,12,60
183231,Adventure Land,2015,2,6.9,2,4,3723,200,864,45,45,45,10,2195
183251,Karuba,2015,1,7.2,2,4,13136,438,2524,40,30,40,8,9365
183264,Spookies,2015,1,6.2,2,5,792,25,124,30,30,30,8,444
183284,Factory Funner,2016,2,7.3,1,5,1478,138,564,40,20,40,11,835
183305,Science Ninjas: Valence,2015,2,6.4,2,5,242,3,18,25,10,25,8,59
183308,1844/1854,2016,4,8,3,7,1310,63,233,300,300,300,12,386
183315,Tetrarchia,2015,2,7.8,1,4,517,88,356,40,20,40,10,232
183340,Der Schatz der 13 Inseln,2015,2,6.4,2,4,137,7,25,0,20,0,6,60
183344,Ugah Ugah!,2015,1,6.1,2,4,139,2,7,15,15,15,5,50
183346,My Very First Games: Little Garden,2015,0,6,1,3,96,1,14,0,15,0,2,44
183360,Legends of Draxia,2015,2,7.2,2,6,211,1,11,60,30,60,12,100
183361,Shogunate,2016,2,6.4,3,6,600,1,34,25,20,25,14,152
183364,Mad Libs: The Game,2016,1,5.2,3,8,208,1,10,40,20,40,10,40
183394,Viticulture Essential Edition,2015,3,8.1,1,6,46415,1539,10048,90,45,90,13,34119
183400,Silly Shenanigans,2015,1,6.6,2,4,132,2,13,0,15,0,4,57
183401,Sleepy Castle,2015,1,6.7,1,4,137,1,15,0,10,0,4,61
183402,Space Planets,2015,1,6.2,2,4,244,6,23,15,15,15,6,101
183404,In A Bind Jr,2016,1,7.1,3,7,119,1,2,25,10,25,4,36
183405,Ember: The Magical Card Game,2016,2,6.7,2,5,335,4,23,30,10,30,12,121
183420,Kung Fu Zoo,2016,1,6.6,2,4,616,33,171,10,5,10,10,373
183441,A Game of Gnomes,2015,3,6.5,2,4,468,14,67,90,90,90,12,164
